Water Control Zone,River,Dates,Dissolved Oxygen (%saturation),Dissolved Oxygen (mg/L),pH,Turbidity (NTU),Water Temperature (°C)
Tolo Harbour And Channel,Shing Mun River,2/21/2013,85,6.6,7.6,0.7,19.9
Tolo Harbour And Channel,Shing Mun River,3/15/2013,84,6.7,7.7,0.3,21.5
Tolo Harbour And Channel,Shing Mun River,4/19/2013,121,8.6,7.8,3.6,25.7
Tolo Harbour And Channel,Shing Mun River,5/30/2013,103,7.1,7.8,2.6,29.1
Tolo Harbour And Channel,Shing Mun River,6/6/2013,80,5.8,7.5,4.2,28.2
Tolo Harbour And Channel,Shing Mun River,7/18/2013,91,6.7,7.5,10.1,29.4
Tolo Harbour And Channel,Shing Mun River,8/19/2013,76,5.7,7.6,7.6,27.9
Tolo Harbour And Channel,Shing Mun River,9/18/2013,102,7.5,7.8,2.6,28.4
Tolo Harbour And Channel,Shing Mun River,10/21/2013,95,6.4,7.7,2.3,27.9
Tolo Harbour And Channel,Shing Mun River,11/14/2013,92,7.5,7.5,1.7,21.3
Tolo Harbour And Channel,Shing Mun River,12/9/2013,94,7,7.7,2.3,21.9
Tolo Harbour And Channel,Tin Sum Nullah,1/18/2013,101,9.8,7.9,0.6,16.8
Tolo Harbour And Channel,Tin Sum Nullah,2/21/2013,100,9.2,7.5,0.2,19.7
Tolo Harbour And Channel,Tin Sum Nullah,3/15/2013,101,9,7.4,0.4,20.8
Tolo Harbour And Channel,Tin Sum Nullah,4/19/2013,100,8.6,7.8,1.7,22.4
Tolo Harbour And Channel,Tin Sum Nullah,5/30/2013,100,8.2,7.5,1.4,25.4
Tolo Harbour And Channel,Tin Sum Nullah,6/6/2013,98,8,7.7,1.6,26.1
Tolo Harbour And Channel,Tin Sum Nullah,7/18/2013,98,7.9,7.5,1.8,26.2
Tolo Harbour And Channel,Tin Sum Nullah,8/19/2013,98,8,7.5,1.3,25.9
Tolo Harbour And Channel,Tin Sum Nullah,9/18/2013,100,8.1,7.9,2.3,26.3
Tolo Harbour And Channel,Tin Sum Nullah,10/21/2013,100,8.2,7.7,1,25.4
Tolo Harbour And Channel,Tin Sum Nullah,11/14/2013,100,8.5,7.5,1,23.3
Tolo Harbour And Channel,Tin Sum Nullah,12/9/2013,100,9,7.4,4.6,20.6
Tolo Harbour And Channel,Siu Lek Yuen Nullah,1/18/2013,97,8.9,7.9,2.4,15.4
Tolo Harbour And Channel,Siu Lek Yuen Nullah,2/21/2013,70,5.5,7.4,2.4,20.1
Tolo Harbour And Channel,Siu Lek Yuen Nullah,3/15/2013,77,5.8,7.7,0.3,21.6
Tolo Harbour And Channel,Siu Lek Yuen Nullah,4/19/2013,105,8.4,7.8,5.8,24.6
Tolo Harbour And Channel,Siu Lek Yuen Nullah,5/30/2013,98,7,7.4,2.8,27.5
Tolo Harbour And Channel,Siu Lek Yuen Nullah,6/6/2013,76,5.7,7.2,4.4,26.8
Tolo Harbour And Channel,Siu Lek Yuen Nullah,7/18/2013,88,6.8,7.6,9.2,27.8
Tolo Harbour And Channel,Siu Lek Yuen Nullah,8/19/2013,84,6.3,7.4,3,27.3
Tolo Harbour And Channel,Siu Lek Yuen Nullah,9/18/2013,70,5.2,7.1,2.7,28.1
Tolo Harbour And Channel,Siu Lek Yuen Nullah,10/21/2013,95,7.2,7.4,2.3,26
Tolo Harbour And Channel,Siu Lek Yuen Nullah,11/14/2013,90,7.6,7.3,2.6,21.8
Tolo Harbour And Channel,Siu Lek Yuen Nullah,12/9/2013,75,5.7,7.5,2.8,22.1
Tolo Harbour And Channel,Siu Lek Yuen Nullah,1/18/2013,112,10.8,9.1,3,16.9
Tolo Harbour And Channel,Siu Lek Yuen Nullah,2/21/2013,109,10.1,8.6,0.2,19.1
Tolo Harbour And Channel,Siu Lek Yuen Nullah,3/15/2013,120,10.7,9.2,0.3,20.7
Tolo Harbour And Channel,Siu Lek Yuen Nullah,4/19/2013,100,8.4,8.8,13.7,24.2
Tolo Harbour And Channel,Siu Lek Yuen Nullah,5/30/2013,104,8.2,7.9,2.5,27.1
Tolo Harbour And Channel,Siu Lek Yuen Nullah,6/6/2013,105,8.5,8.2,4.6,26.3
Tolo Harbour And Channel,Siu Lek Yuen Nullah,7/18/2013,101,8.1,8,2.5,26.6
Tolo Harbour And Channel,Siu Lek Yuen Nullah,8/19/2013,101,8.2,8.5,0.9,26.4
Tolo Harbour And Channel,Siu Lek Yuen Nullah,9/18/2013,107,8.6,8.7,2.5,26.2
Tolo Harbour And Channel,Siu Lek Yuen Nullah,10/21/2013,102,8.7,8.5,5.8,23.8
Tolo Harbour And Channel,Siu Lek Yuen Nullah,11/14/2013,104,9.1,8.4,6.4,21.5
Tolo Harbour And Channel,Siu Lek Yuen Nullah,12/9/2013,106,9.3,8.7,1.8,21.6
Tolo Harbour And Channel,Shan Liu Stream,1/17/2013,96,8.9,8.1,4.2,19
Tolo Harbour And Channel,Shan Liu Stream,2/20/2013,83,7.5,7.5,2.1,20.4
Tolo Harbour And Channel,Shan Liu Stream,3/14/2013,75,6.8,7.5,3.5,20.7
Tolo Harbour And Channel,Shan Liu Stream,4/5/2013,82,7.2,7.5,33,21.6
Tolo Harbour And Channel,Shan Liu Stream,5/20/2013,98,7.6,7.5,2.4,28
Tolo Harbour And Channel,Shan Liu Stream,6/19/2013,94,7.2,7.5,1.6,29.2
Tolo Harbour And Channel,Shan Liu Stream,7/17/2013,102,7.9,7.9,7.5,28.9
Tolo Harbour And Channel,Shan Liu Stream,8/15/2013,90,7.2,7.7,6.7,26.7
Tolo Harbour And Channel,Shan Liu Stream,9/5/2013,90,7.4,7.4,11.2,25.4
Tolo Harbour And Channel,Shan Liu Stream,10/16/2013,102,8.1,7.4,7.2,27.1
Tolo Harbour And Channel,Shan Liu Stream,11/18/2013,93,7.9,7.7,5.4,23.2
Tolo Harbour And Channel,Shan Liu Stream,12/11/2013,95,8.8,7.5,6.8,19.5
Tolo Harbour And Channel,Tung Tze Stream,1/17/2013,94,8.3,7.3,3.4,18.6
Tolo Harbour And Channel,Tung Tze Stream,2/20/2013,66,5.4,7.2,2.6,20.7
Tolo Harbour And Channel,Tung Tze Stream,3/14/2013,88,6.5,7.7,3.7,21.3
Tolo Harbour And Channel,Tung Tze Stream,4/5/2013,89,7.9,7.2,164.2,21.3
Tolo Harbour And Channel,Tung Tze Stream,5/20/2013,78,5.9,7.5,10.9,28.6
Tolo Harbour And Channel,Tung Tze Stream,6/19/2013,101,7.3,7.6,3.6,31.8
Tolo Harbour And Channel,Tung Tze Stream,7/17/2013,84,6.4,7.3,14.2,28.7
Tolo Harbour And Channel,Tung Tze Stream,8/15/2013,79,6.1,7.3,10.8,27.4
Tolo Harbour And Channel,Tung Tze Stream,9/5/2013,74,6,7.3,13.2,25.5
Tolo Harbour And Channel,Tung Tze Stream,10/16/2013,76,5.5,7.4,6.1,27.1
Tolo Harbour And Channel,Tung Tze Stream,11/18/2013,91,7.8,7.5,4.2,21.5
Tolo Harbour And Channel,Tung Tze Stream,12/11/2013,90,8.2,7.5,17.1,19.3
Deep Bay,Tin Shui Wai Nullah,1/23/2013,42,3.8,7.6,4.3,20.8
Deep Bay,Tin Shui Wai Nullah,2/25/2013,39,3.5,7.1,3.5,21.4
Deep Bay,Tin Shui Wai Nullah,3/20/2013,42,3.6,7.4,18.9,23.2
Deep Bay,Tin Shui Wai Nullah,4/24/2013,44,3.7,7.5,7.4,25
Deep Bay,Tin Shui Wai Nullah,5/24/2013,108,8.3,7.7,13.9,28.7
Deep Bay,Tin Shui Wai Nullah,6/24/2013,97,8,7.5,56.2,25.4
Deep Bay,Tin Shui Wai Nullah,7/10/2013,74,5.6,7.4,22.5,29.8
Deep Bay,Tin Shui Wai Nullah,8/8/2013,95,7,7.6,12.4,31.1
Deep Bay,Tin Shui Wai Nullah,9/6/2013,106,8.2,7.5,18.5,28.5
Deep Bay,Tin Shui Wai Nullah,10/10/2013,54,4.3,7.3,4.9,26.8
Deep Bay,Tin Shui Wai Nullah,11/11/2013,57,4.8,7.4,7.5,24.7
Deep Bay,Tin Shui Wai Nullah,12/6/2013,46,4.3,7.3,4.7,18.6
Deep Bay,Tin Shui Wai Nullah,1/23/2013,145,12.5,9,3.5,22.5
Deep Bay,Tin Shui Wai Nullah,2/25/2013,108,8.9,9.8,1.4,25.4
Deep Bay,Tin Shui Wai Nullah,3/20/2013,103,8.7,8.5,3.5,23.6
Deep Bay,Tin Shui Wai Nullah,4/24/2013,126,9.8,8,5.1,28.5
Deep Bay,Tin Shui Wai Nullah,5/24/2013,103,8.2,7.9,4.4,27.6
Deep Bay,Tin Shui Wai Nullah,6/24/2013,100,8.3,7.5,53.1,25.1
Deep Bay,Tin Shui Wai Nullah,7/10/2013,104,8.1,7.4,10.9,28.1
Deep Bay,Tin Shui Wai Nullah,8/8/2013,103,7.8,7.9,4.5,30.3
Deep Bay,Tin Shui Wai Nullah,9/6/2013,106,8.4,7.6,14.7,27.4
Deep Bay,Tin Shui Wai Nullah,10/10/2013,114,8.9,7.9,3.7,28.3
Deep Bay,Tin Shui Wai Nullah,11/11/2013,112,9.2,7.8,3.9,25.2
Deep Bay,Tin Shui Wai Nullah,12/6/2013,107,9.7,7.8,6.3,20.2
Victoria Harbour,Sam Dip Tam Stream,1/14/2013,97,9.4,8,7.5,16.6
Victoria Harbour,Sam Dip Tam Stream,2/18/2013,95,8.7,7.8,0.7,19.6
Victoria Harbour,Sam Dip Tam Stream,3/11/2013,94,8.6,7.6,0.2,19.9
Victoria Harbour,Sam Dip Tam Stream,4/15/2013,97,8.7,8,1.3,20.7
Victoria Harbour,Sam Dip Tam Stream,5/10/2013,96,8.1,7.8,2,23.9
Victoria Harbour,Sam Dip Tam Stream,6/21/2013,96,7.6,7.8,0.6,27.1
Victoria Harbour,Sam Dip Tam Stream,7/11/2013,97,7.8,7.9,2.3,26.2
Victoria Harbour,Sam Dip Tam Stream,8/12/2013,96,7.7,7.8,1.8,27
Victoria Harbour,Sam Dip Tam Stream,9/11/2013,99,8,7.7,3.1,26.5
Victoria Harbour,Sam Dip Tam Stream,10/11/2013,97,7.9,7.7,1.2,25.8
Victoria Harbour,Sam Dip Tam Stream,11/15/2013,98,8.6,7.6,1.5,21.5
Victoria Harbour,Sam Dip Tam Stream,12/13/2013,96,9.1,7.5,1.4,18.3
Victoria Harbour,Sam Dip Tam Stream,1/14/2013,100,9.6,8.3,4.6,17.3
Victoria Harbour,Sam Dip Tam Stream,2/18/2013,102,9.1,7.8,1.6,20.6
Victoria Harbour,Sam Dip Tam Stream,3/11/2013,103,9.3,8,1,20.1
Victoria Harbour,Sam Dip Tam Stream,4/15/2013,103,9,8.1,1,22.4
Victoria Harbour,Sam Dip Tam Stream,5/10/2013,101,8.4,7.9,0.9,25
Victoria Harbour,Sam Dip Tam Stream,6/21/2013,104,8,7.9,0.5,29.4
Victoria Harbour,Sam Dip Tam Stream,7/11/2013,105,8.3,7.9,0.8,27.3
Victoria Harbour,Sam Dip Tam Stream,8/12/2013,104,8.1,7.9,1.1,28.8
Victoria Harbour,Sam Dip Tam Stream,9/11/2013,103,8.1,7.7,1.7,27.8
Victoria Harbour,Sam Dip Tam Stream,10/11/2013,106,8.4,7.9,1.8,27.2
Victoria Harbour,Sam Dip Tam Stream,11/15/2013,103,8.9,7.6,1.7,22.7
Victoria Harbour,Sam Dip Tam Stream,12/13/2013,101,9.5,7.8,1.5,18.5
Victoria Harbour,Sam Dip Tam Stream,1/14/2013,110,10.5,8.6,1.5,17.7
Victoria Harbour,Sam Dip Tam Stream,2/18/2013,101,9.1,8.2,5.3,20.9
Victoria Harbour,Sam Dip Tam Stream,3/11/2013,107,9.7,8,2.7,20.3
Victoria Harbour,Sam Dip Tam Stream,4/15/2013,103,8.9,8.1,0.7,22.1
Victoria Harbour,Sam Dip Tam Stream,5/10/2013,101,8.3,7.8,0.9,25.1
Victoria Harbour,Sam Dip Tam Stream,6/21/2013,101,7.8,7.7,0.4,28.9
Victoria Harbour,Sam Dip Tam Stream,7/11/2013,102,8.1,7.8,0.5,27.1
Victoria Harbour,Sam Dip Tam Stream,8/12/2013,102,7.9,7.8,0.6,28.8
Victoria Harbour,Sam Dip Tam Stream,9/11/2013,102,7.9,7.5,1.7,28.1
Victoria Harbour,Sam Dip Tam Stream,10/11/2013,109,8.5,7.9,1.7,27.7
Victoria Harbour,Sam Dip Tam Stream,11/15/2013,109,9.4,7.6,2.3,22.8
Victoria Harbour,Sam Dip Tam Stream,12/13/2013,88,8.3,7.3,3.8,18.7
Deep Bay,Yuen Long Creek,1/7/2013,68,6.3,7.6,27.7,19.1
Deep Bay,Yuen Long Creek,2/4/2013,47,4.1,7.3,13.4,22.2
Deep Bay,Yuen Long Creek,3/6/2013,56,4.8,7.2,6.9,23.5
Deep Bay,Yuen Long Creek,4/8/2013,85,7.6,7.5,101,20.9
Deep Bay,Yuen Long Creek,5/6/2013,77,6.6,7.7,11.5,23.6
Deep Bay,Yuen Long Creek,6/5/2013,96,7.5,7.4,13.3,28
Deep Bay,Yuen Long Creek,7/5/2013,101,7.6,7.5,13.2,30.3
Deep Bay,Yuen Long Creek,8/5/2013,93,7.2,7.4,7.4,28.7
Deep Bay,Yuen Long Creek,9/4/2013,92,7.6,7.3,69.1,25.3
Deep Bay,Yuen Long Creek,10/4/2013,96,7.7,7.7,8.7,27.1
Deep Bay,Yuen Long Creek,11/6/2013,59,4.9,7.2,9,24.9
Deep Bay,Yuen Long Creek,12/4/2013,83,7.5,7.4,8.4,20.8
Deep Bay,Yuen Long Creek,1/7/2013,76,6.8,7.6,33.4,21.2
Deep Bay,Yuen Long Creek,2/4/2013,57,4.7,7.2,17.9,24.6
Deep Bay,Yuen Long Creek,3/6/2013,75,6.2,7.2,10.7,25.3
Deep Bay,Yuen Long Creek,4/8/2013,88,7.4,7.4,8.6,23.9
Deep Bay,Yuen Long Creek,5/6/2013,37,3,7.3,23.7,25.7
Deep Bay,Yuen Long Creek,6/5/2013,88,6.6,7.3,8.1,30.2
Deep Bay,Yuen Long Creek,7/5/2013,103,7.4,7.5,8.3,33.3
Deep Bay,Yuen Long Creek,8/5/2013,83,6.2,7.4,4.4,30.5
Deep Bay,Yuen Long Creek,9/4/2013,90,7.3,7.4,24.8,26
Deep Bay,Yuen Long Creek,10/4/2013,128,9.6,7.5,10.6,30.4
Deep Bay,Yuen Long Creek,11/6/2013,69,5.5,7.3,3.9,27.3
Deep Bay,Yuen Long Creek,12/4/2013,88,7.5,7.3,10.4,23.8
Deep Bay,Yuen Long Creek,1/7/2013,57,5.3,7.8,74.8,19.4
Deep Bay,Yuen Long Creek,2/4/2013,69,6.1,7.2,21.8,21.7
Deep Bay,Yuen Long Creek,3/6/2013,39,3.4,7.1,20.4,22.5
Deep Bay,Yuen Long Creek,4/8/2013,53,4.7,7.7,20.6,21.1
Deep Bay,Yuen Long Creek,5/6/2013,61,5.2,7.6,12.3,23.9
Deep Bay,Yuen Long Creek,6/5/2013,74,5.8,7.4,23.1,27.9
Deep Bay,Yuen Long Creek,7/5/2013,43,3.3,7.6,4.9,29.4
Deep Bay,Yuen Long Creek,8/5/2013,36,2.8,7.3,5.8,28.5
Deep Bay,Yuen Long Creek,9/4/2013,84,6.9,7.8,98.6,25.5
Deep Bay,Yuen Long Creek,10/4/2013,47,3.8,7.8,8.2,26.7
Deep Bay,Yuen Long Creek,11/6/2013,32,2.6,8.4,19.4,25.2
Deep Bay,Yuen Long Creek,12/4/2013,72,6.3,7.9,18.8,21.5
Deep Bay,Yuen Long Creek,1/7/2013,46,4.3,8.1,68.2,18.7
Deep Bay,Yuen Long Creek,2/4/2013,56,4.9,6.9,34.7,21.3
Deep Bay,Yuen Long Creek,3/6/2013,51,4.5,7.5,44,21.7
Deep Bay,Yuen Long Creek,4/8/2013,41,3.6,7.6,32.8,21.5
Deep Bay,Yuen Long Creek,5/6/2013,46,3.8,9,71.8,24.1
Deep Bay,Yuen Long Creek,6/5/2013,36,2.8,6.9,30.1,28.1
Deep Bay,Yuen Long Creek,7/5/2013,99,7.5,7.2,11.3,29.5
Deep Bay,Yuen Long Creek,8/5/2013,26,2,7.2,24.4,29
Deep Bay,Yuen Long Creek,9/4/2013,87,7.1,7.6,101.9,25.3
Deep Bay,Yuen Long Creek,10/4/2013,88,6.9,7.4,12.9,27.9
Deep Bay,Yuen Long Creek,11/6/2013,31,2.5,7.3,21.8,25.5
Deep Bay,Yuen Long Creek,12/4/2013,33,2.9,7.2,27.3,21.9
Western Buffer,Pai Min Kok Stream,1/11/2014,102,9.6,8.4,286.4,18.1
Western Buffer,Pai Min Kok Stream,2/14/2014,100,11.2,7.8,2.2,10.2
Western Buffer,Pai Min Kok Stream,3/12/2014,98,9.3,7.8,12.9,17.9
Western Buffer,Pai Min Kok Stream,4/9/2014,101,8.7,7.8,77.5,22.5
Western Buffer,Pai Min Kok Stream,5/12/2014,100,8.5,7.5,15.9,23.3
Western Buffer,Pai Min Kok Stream,6/11/2014,99,8.1,7.6,5.9,25.9
Western Buffer,Pai Min Kok Stream,7/10/2014,101,8,7.7,20.2,27.4
Western Buffer,Pai Min Kok Stream,8/11/2014,99,7.6,7.6,4.7,28.9
Western Buffer,Pai Min Kok Stream,9/12/2014,100,7.8,7.4,7.1,27.7
Western Buffer,Pai Min Kok Stream,10/9/2014,102,8.2,7.9,2.4,24.9
Western Buffer,Pai Min Kok Stream,11/12/2014,101,8.6,8,4.7,21.9
Western Buffer,Pai Min Kok Stream,12/8/2014,100,9.2,8,0.9,17.2
Western Buffer,Pai Min Kok Stream,1/11/2014,104,10.1,8.4,5.4,16.7
Western Buffer,Pai Min Kok Stream,2/14/2014,100,11,8.3,2.6,11
Western Buffer,Pai Min Kok Stream,3/12/2014,102,9.7,7.9,2.4,17.9
Western Buffer,Pai Min Kok Stream,4/9/2014,101,8.8,7.8,134.5,21.9
Western Buffer,Pai Min Kok Stream,5/12/2014,100,8.5,7.3,19.9,23.2
Western Buffer,Pai Min Kok Stream,6/11/2014,103,8.4,7.5,7,26.1
Western Buffer,Pai Min Kok Stream,7/10/2014,100,7.9,7.9,19.4,26.9
Western Buffer,Pai Min Kok Stream,8/11/2014,100,7.8,8,6.1,28
Western Buffer,Pai Min Kok Stream,9/12/2014,99,7.9,7.9,6.6,27.2
Western Buffer,Pai Min Kok Stream,10/9/2014,103,8.7,8,3.8,23.8
Western Buffer,Pai Min Kok Stream,11/12/2014,104,9,8.2,8,22.4
Western Buffer,Pai Min Kok Stream,12/8/2014,103,10,8.2,5.8,17
Deep Bay,Ha Pak Nai Stream,1/3/2014,101,10,7.4,5.2,15.6
Deep Bay,Ha Pak Nai Stream,2/5/2014,101,9.6,7.2,5.8,18
Deep Bay,Ha Pak Nai Stream,3/3/2014,103,9.7,7.2,5.1,18.3
Deep Bay,Ha Pak Nai Stream,4/3/2014,99,9.1,6.8,43.4,19.6
Deep Bay,Ha Pak Nai Stream,5/9/2014,99,8.8,7,13.3,21.5
Deep Bay,Ha Pak Nai Stream,6/4/2014,102,7.9,7.4,7,28.7
Deep Bay,Ha Pak Nai Stream,7/7/2014,102,7.8,7.8,8.9,29.3
Deep Bay,Ha Pak Nai Stream,8/1/2014,102,7.8,7.8,0.3,29.8
Deep Bay,Ha Pak Nai Stream,9/3/2014,101,7.7,8.2,7.8,29.7
Deep Bay,Ha Pak Nai Stream,10/3/2014,103,8,7.6,9.7,28.3
Deep Bay,Ha Pak Nai Stream,11/3/2014,100,8.9,7.6,5.9,21.1
Deep Bay,Ha Pak Nai Stream,12/4/2014,101,9.8,7.6,11.2,16.8
Deep Bay,Tai Shui Hang Stream,1/3/2014,99,9.7,7.5,3.1,16.5
Deep Bay,Tai Shui Hang Stream,2/5/2014,100,9.4,7.5,2.3,18.4
Deep Bay,Tai Shui Hang Stream,3/3/2014,100,9.4,7.6,2,18.2
Deep Bay,Tai Shui Hang Stream,4/3/2014,100,9.1,7.5,456.5,19.8
Deep Bay,Tai Shui Hang Stream,5/9/2014,99,8.8,7.6,35.2,21.5
Deep Bay,Tai Shui Hang Stream,6/4/2014,102,7.7,7.8,6.4,30.2
Deep Bay,Tai Shui Hang Stream,7/7/2014,100,7.7,8,187.8,29.2
Deep Bay,Tai Shui Hang Stream,8/1/2014,100,7.4,8,7.9,31.4
Deep Bay,Tai Shui Hang Stream,9/3/2014,108,8,8.2,3.9,31.2
Deep Bay,Tai Shui Hang Stream,10/3/2014,109,8.4,8,5.6,29.2
Deep Bay,Tai Shui Hang Stream,11/3/2014,96,8.5,7.9,11.6,21.3
Deep Bay,Tai Shui Hang Stream,12/4/2014,99,9.6,8,5.9,16.9
Deep Bay,Pak Nai Stream,1/3/2014,98,9.5,6.9,4.8,16.5
Deep Bay,Pak Nai Stream,2/5/2014,97,9.1,6.9,4.9,18.4
Deep Bay,Pak Nai Stream,3/3/2014,97,9.3,7,6,17.9
Deep Bay,Pak Nai Stream,4/3/2014,99,9.1,6.7,311.8,19.5
Deep Bay,Pak Nai Stream,5/9/2014,96,8.5,6.6,43.5,21.4
Deep Bay,Pak Nai Stream,6/4/2014,97,7.4,7,8,29.5
Deep Bay,Pak Nai Stream,7/7/2014,96,7.2,7.3,11.7,30.4
Deep Bay,Pak Nai Stream,8/1/2014,97,7.2,7.2,16.2,30.7
Deep Bay,Pak Nai Stream,9/3/2014,98,7.4,7.4,8.4,30.6
Deep Bay,Pak Nai Stream,10/3/2014,102,7.9,7.1,8,28.8
Deep Bay,Pak Nai Stream,11/3/2014,95,8.5,7.5,5.6,20.8
Deep Bay,Pak Nai Stream,12/4/2014,96,9.3,7.2,10.2,16.8
Deep Bay,Sheung Pak Nai Stream,1/3/2014,100,9.7,6.7,37.2,16.8
Deep Bay,Sheung Pak Nai Stream,2/5/2014,99,9.2,7,6.1,18.9
Deep Bay,Sheung Pak Nai Stream,3/3/2014,100,9.5,7.1,8,17.9
Deep Bay,Sheung Pak Nai Stream,4/3/2014,100,9.2,5.6,1513.1,19.6
Deep Bay,Sheung Pak Nai Stream,5/9/2014,95,8.4,6.1,444,21.4
Deep Bay,Sheung Pak Nai Stream,6/4/2014,102,7.7,7.1,21.9,30.2
Deep Bay,Sheung Pak Nai Stream,7/7/2014,99,7.3,7.2,24.2,31.3
Deep Bay,Sheung Pak Nai Stream,8/1/2014,98,7.3,7.2,21.8,31
Deep Bay,Sheung Pak Nai Stream,9/3/2014,100,7.4,7.2,12.4,31.5
Deep Bay,Sheung Pak Nai Stream,10/3/2014,102,7.8,7.3,11.3,29.8
Deep Bay,Sheung Pak Nai Stream,11/3/2014,98,8.7,7.3,9.1,21
Deep Bay,Sheung Pak Nai Stream,12/4/2014,98,9.4,7.3,21.9,17.3
Deep Bay,Ngau Hom Sha Stream,1/3/2014,115,10.7,6.8,4.9,18.8
Deep Bay,Ngau Hom Sha Stream,2/5/2014,105,9.6,6.9,5.3,19.7
Deep Bay,Ngau Hom Sha Stream,3/3/2014,98,8.8,6.8,15.8,18.7
Deep Bay,Ngau Hom Sha Stream,4/3/2014,98,8.9,5.9,158.2,19.7
Deep Bay,Ngau Hom Sha Stream,5/9/2014,96,8.5,6.3,35.9,21.5
Deep Bay,Ngau Hom Sha Stream,6/4/2014,106,8.1,6.7,8.2,29.2
Deep Bay,Ngau Hom Sha Stream,7/7/2014,101,7.7,7.2,12.5,29.8
Deep Bay,Ngau Hom Sha Stream,8/1/2014,100,7.6,7.1,23.8,29.4
Deep Bay,Ngau Hom Sha Stream,9/3/2014,100,7.6,7,6.3,29.5
Deep Bay,Ngau Hom Sha Stream,10/3/2014,109,8.3,7,3.9,29.3
Deep Bay,Ngau Hom Sha Stream,11/3/2014,78,6.8,7,4.4,21.9
Deep Bay,Ngau Hom Sha Stream,12/4/2014,94,9,7,6.3,17.7
Deep Bay,Tsang Kok Stream,1/3/2014,103,10,7.5,3.4,16.6
Deep Bay,Tsang Kok Stream,2/5/2014,93,8.7,7.1,2.6,18.6
Deep Bay,Tsang Kok Stream,3/3/2014,106,9.9,7.5,3,18.7
Deep Bay,Tsang Kok Stream,4/3/2014,96,8.7,7.4,27,20.1
Deep Bay,Tsang Kok Stream,5/9/2014,96,8.4,7.5,40.9,21.6
Deep Bay,Tsang Kok Stream,6/4/2014,106,8.1,7.4,7,29.3
Deep Bay,Tsang Kok Stream,7/7/2014,90,7.1,7.8,411.2,27.7
Deep Bay,Tsang Kok Stream,8/1/2014,142,10.7,7.9,7.2,30.1
Deep Bay,Tsang Kok Stream,9/3/2014,120,9.1,8,6.2,29.4
Deep Bay,Tsang Kok Stream,10/3/2014,110,8.4,9,3.2,29.4
Deep Bay,Tsang Kok Stream,11/3/2014,85,7.4,7.7,15,22.3
Deep Bay,Tsang Kok Stream,12/4/2014,94,9,7.9,23,17.7
Deep Bay,Fairview Park Nullah,1/6/2014,68,6.5,7.5,18.2,16.7
Deep Bay,Fairview Park Nullah,2/6/2014,124,10.5,8.8,49.7,22.9
Deep Bay,Fairview Park Nullah,3/5/2014,69,6.6,8.2,314.6,17.7
Deep Bay,Fairview Park Nullah,4/4/2014,55,4.9,7.1,17.9,21.4
Deep Bay,Fairview Park Nullah,5/7/2014,70,6.1,7.7,8.9,22
Deep Bay,Fairview Park Nullah,6/5/2014,117,8.6,8.6,22.1,31.2
Deep Bay,Fairview Park Nullah,7/4/2014,133,9.7,8.3,75.5,32.1
Deep Bay,Fairview Park Nullah,8/4/2014,105,7.6,8.4,47.7,32.1
Deep Bay,Fairview Park Nullah,9/5/2014,86,6.3,8.1,25.5,31.3
Deep Bay,Fairview Park Nullah,10/8/2014,120,9.1,8,12.8,27.6
Deep Bay,Fairview Park Nullah,11/5/2014,69,5.5,7.8,10.5,23.8
Deep Bay,Fairview Park Nullah,12/3/2014,56,4.8,7.7,7,20.3
Deep Bay,River Ganges,1/8/2014,72,6.6,7.3,2.9,19.2
Deep Bay,River Ganges,2/7/2014,64,5.7,7.1,3.7,20.9
Deep Bay,River Ganges,3/6/2014,73,7,7.4,3.8,17.1
Deep Bay,River Ganges,4/7/2014,86,7.6,7.2,28.6,21.2
Deep Bay,River Ganges,5/8/2014,90,7.6,7.4,6.9,23.9
Deep Bay,River Ganges,6/6/2014,86,6.8,7.1,42.5,27.1
Deep Bay,River Ganges,7/2/2014,91,7,7.5,9.5,28.9
Deep Bay,River Ganges,8/6/2014,87,6.7,7.2,34.1,28.7
Deep Bay,River Ganges,9/1/2014,97,7.1,7.5,7.1,32
Deep Bay,River Ganges,10/6/2014,92,7.2,7.4,9.1,27.8
Deep Bay,River Ganges,11/6/2014,74,6.1,7.6,7.8,24.6
Deep Bay,River Ganges,12/1/2014,61,5.5,7.6,8.7,20.9
Deep Bay,River Ganges,1/8/2014,81,7.5,7,4.2,19.2
Deep Bay,River Ganges,2/7/2014,77,6.8,7,10.7,20.9
Deep Bay,River Ganges,3/6/2014,71,6.9,7,14.6,16.7
Deep Bay,River Ganges,4/7/2014,83,7.4,7.1,8,20.9
Deep Bay,River Ganges,5/8/2014,69,5.9,7,7.3,23
Deep Bay,River Ganges,6/6/2014,79,6.3,7.1,77.4,26.9
Deep Bay,River Ganges,7/2/2014,70,5.4,7.5,13,28.9
Deep Bay,River Ganges,8/6/2014,77,5.9,7.1,36.3,28.8
Deep Bay,River Ganges,9/1/2014,86,6.4,7.4,12.2,30.8
Deep Bay,River Ganges,10/6/2014,89,7.1,7.2,11.2,27.6
Deep Bay,River Ganges,11/6/2014,75,6.3,7.3,12,24.1
Deep Bay,River Ganges,12/1/2014,56,5,7.4,9.1,20.7
Deep Bay,River Ganges,1/8/2014,80,7.3,6.8,7.2,20
Deep Bay,River Ganges,2/7/2014,88,8,7.1,7.9,20.3
Deep Bay,River Ganges,3/6/2014,91,8.7,7.3,8.7,17.4
